,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84
0,0,0,1,0,1.0,1,1,1,0.5,0,0,1,0.3333333333333333,1,0,0,0.25,1,0,0,0.4,1,1,1,0.3333333333333333,1,0,0,0.42857142857142855,1,1,1,0.375,1,0,0,0.4444444444444444,1,1,1,0.4,0,0,1,0.18181818181818182,1,0,0,0.4166666666666667,0,0,1,0.23076923076923078,0,0,1,0.2857142857142857,0,1,0,0.13333333333333333,0,0,1,0.3125,0,0,1,0.35294117647058826,0,0,1,0.3888888888888889,1,1,1,0.2631578947368421,0,1,0,0.15,0,0,1,0.38095238095238093
1,0,0,1,0,1.0,1,1,1,0.5,0,0,1,0.3333333333333333,1,1,1,0.5,0,0,1,0.4,0,1,0,0.3333333333333333,1,1,1,0.42857142857142855,1,1,1,0.5,0,1,0,0.3333333333333333,0,0,1,0.3,0,0,1,0.36363636363636365,0,0,1,0.4166666666666667,0,0,1,0.46153846153846156,1,1,1,0.35714285714285715,0,0,1,0.4666666666666667,0,0,1,0.5,0,1,0,0.23529411764705882,0,0,1,0.5,0,1,0,0.2631578947368421,0,0,1,0.5,0,1,0,0.2857142857142857
2,0,1,1,1,1.0,0,0,1,0.5,0,0,1,0.6666666666666666,1,1,1,0.5,0,0,1,0.6,1,0,0,0.16666666666666666,1,1,1,0.42857142857142855,1,1,1,0.5,1,1,1,0.5555555555555556,0,1,0,0.1,0,0,1,0.36363636363636365,1,0,0,0.16666666666666666,0,0,1,0.38461538461538464,0,0,1,0.42857142857142855,1,0,0,0.2,0,0,1,0.4375,1,0,0,0.23529411764705882,1,0,0,0.2777777777777778,0,0,1,0.42105263157894735,1,0,0,0.3,0,0,1,0.42857142857142855
3,1,0,1,0,1.0,1,1,1,0.5,1,1,1,0.6666666666666666,1,0,0,0.25,0,0,1,0.2,0,1,0,0.3333333333333333,1,0,0,0.2857142857142857,1,0,0,0.375,0,1,0,0.3333333333333333,0,0,1,0.2,0,0,1,0.2727272727272727,0,0,1,0.3333333333333333,1,0,0,0.3076923076923077,0,1,0,0.2857142857142857,0,0,1,0.3333333333333333,1,1,1,0.1875,0,0,1,0.35294117647058826,1,1,1,0.2222222222222222,1,1,1,0.2631578947368421,1,1,1,0.3,0,1,0,0.23809523809523808
4,1,0,1,0,1.0,0,1,0,1.0,0,1,0,1.0,0,0,1,0.25,1,0,0,0.2,1,0,0,0.3333333333333333,1,0,0,0.42857142857142855,0,1,0,0.5,1,1,1,0.1111111111111111,1,0,0,0.4,0,0,1,0.18181818181818182,1,1,1,0.16666666666666666,0,0,1,0.23076923076923078,1,1,1,0.21428571428571427,1,0,0,0.3333333333333333,1,1,1,0.25,1,0,0,0.35294117647058826,1,1,1,0.2777777777777778,0,1,0,0.2631578947368421,1,0,0,0.35,0,0,1,0.19047619047619047
5,1,0,0,1,1.0,0,0,1,1.0,1,0,0,0.3333333333333333,0,1,0,0.25,0,1,0,0.4,0,0,1,0.5,0,0,1,0.5714285714285714,0,1,0,0.375,0,0,1,0.5555555555555556,0,0,1,0.6,0,0,1,0.6363636363636364,0,0,1,0.6666666666666666,1,1,1,0.07692307692307693,1,1,1,0.14285714285714285,1,0,0,0.13333333333333333,1,1,1,0.1875,1,0,0,0.17647058823529413,1,1,1,0.2222222222222222,0,0,1,0.47368421052631576,1,0,0,0.2,1,0,0,0.23809523809523808
6,0,1,1,1,1.0,1,1,1,1.0,1,1,1,1.0,1,0,0,0.25,0,1,0,0.2,0,0,1,0.16666666666666666,1,1,1,0.5714285714285714,1,0,0,0.25,1,0,0,0.3333333333333333,0,0,1,0.2,0,0,1,0.2727272727272727,0,1,0,0.16666666666666666,0,1,0,0.23076923076923078,1,1,1,0.35714285714285715,1,1,1,0.4,0,1,0,0.25,0,1,0,0.29411764705882354,0,0,1,0.2222222222222222,1,0,0,0.21052631578947367,1,1,1,0.35,1,1,1,0.38095238095238093
7,0,0,0,1,1.0,1,1,1,0.5,1,0,0,0.3333333333333333,0,1,0,0.25,0,1,0,0.4,1,0,0,0.3333333333333333,1,0,0,0.42857142857142855,1,0,0,0.5,0,1,0,0.3333333333333333,1,1,1,0.2,0,0,1,0.18181818181818182,1,0,0,0.4166666666666667,1,0,0,0.46153846153846156,0,0,1,0.21428571428571427,1,0,0,0.4666666666666667,1,0,0,0.5,0,1,0,0.23529411764705882,1,1,1,0.16666666666666666,0,1,0,0.2631578947368421,1,1,1,0.2,0,1,0,0.2857142857142857
8,1,1,1,1,1.0,1,0,0,0.5,1,0,0,0.6666666666666666,0,0,1,0.25,0,0,1,0.4,0,0,1,0.5,0,0,1,0.5714285714285714,1,1,1,0.25,1,0,0,0.3333333333333333,0,0,1,0.5,0,0,1,0.5454545454545454,0,0,1,0.5833333333333334,0,0,1,0.6153846153846154,0,0,1,0.6428571428571429,1,0,0,0.26666666666666666,0,1,0,0.0625,0,0,1,0.5882352941176471,0,0,1,0.6111111111111112,0,0,1,0.631578947368421,1,1,1,0.15,0,0,1,0.6190476190476191
9,0,0,1,0,1.0,1,1,1,0.5,1,0,0,0.3333333333333333,0,1,0,0.5,0,1,0,0.6,0,0,1,0.16666666666666666,1,0,0,0.2857142857142857,1,0,0,0.375,1,0,0,0.4444444444444444,0,1,0,0.4,0,0,1,0.18181818181818182,1,1,1,0.16666666666666666,1,1,1,0.23076923076923078,0,1,0,0.35714285714285715,0,1,0,0.4,1,1,1,0.25,1,0,0,0.29411764705882354,0,1,0,0.3888888888888889,1,1,1,0.2631578947368421,0,0,1,0.15,1,0,0,0.2857142857142857
10,0,0,1,0,1.0,0,0,1,0.5,0,0,1,0.6666666666666666,0,1,0,0.5,1,0,0,0.2,1,1,1,0.16666666666666666,1,0,0,0.2857142857142857,1,0,0,0.375,0,1,0,0.3333333333333333,0,0,1,0.3,0,0,1,0.36363636363636365,0,0,1,0.4166666666666667,0,0,1,0.46153846153846156,0,1,0,0.2857142857142857,0,1,0,0.3333333333333333,0,1,0,0.375,0,1,0,0.4117647058823529,1,1,1,0.1111111111111111,0,1,0,0.42105263157894735,0,0,1,0.35,1,0,0,0.19047619047619047
